Date,Timestamp,ISO8601,Energy (Cal),Duration (second),Since start (second)
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,,,0.000
07:42:52.347,1781160172.347,2026-06-11T07:42:52.347+0100,0.193,2.547,1.113
07:42:54.895,1781160174.895,2026-06-11T07:42:54.895+0100,0.550,2.547,3.660
07:42:57.442,1781160177.442,2026-06-11T07:42:57.442+0100,0.551,2.547,6.208
07:42:59.989,1781160179.989,2026-06-11T07:42:59.989+0100,0.563,2.547,8.755
07:43:02.536,1781160182.536,2026-06-11T07:43:02.536+0100,0.591,2.547,11.302
07:43:05.084,1781160185.084,2026-06-11T07:43:05.084+0100,0.592,2.547,13.849
07:43:07.631,1781160187.631,2026-06-11T07:43:07.631+0100,0.593,2.547,16.396
07:43:10.178,1781160190.178,2026-06-11T07:43:10.178+0100,0.597,2.547,18.944
07:43:12.725,1781160192.725,2026-06-11T07:43:12.725+0100,0.597,2.547,21.491
07:43:15.272,1781160195.272,2026-06-11T07:43:15.272+0100,0.587,2.547,24.038
07:43:17.820,1781160197.820,2026-06-11T07:43:17.820+0100,0.567,2.547,26.585
07:43:20.367,1781160200.367,2026-06-11T07:43:20.367+0100,0.567,2.547,29.132
07:43:22.914,1781160202.914,2026-06-11T07:43:22.914+0100,0.566,2.547,31.680
07:43:25.461,1781160205.461,2026-06-11T07:43:25.461+0100,0.566,2.547,34.227
07:43:28.008,1781160208.008,2026-06-11T07:43:28.008+0100,0.553,2.547,36.774
07:43:30.555,1781160210.555,2026-06-11T07:43:30.555+0100,0.553,2.547,39.321
07:43:33.103,1781160213.103,2026-06-11T07:43:33.103+0100,0.553,2.547,41.868
07:43:35.650,1781160215.650,2026-06-11T07:43:35.650+0100,0.558,2.547,44.415
07:43:38.197,1781160218.197,2026-06-11T07:43:38.197+0100,0.564,2.547,46.963
07:43:40.744,1781160220.744,2026-06-11T07:43:40.744+0100,0.568,2.547,49.510
07:43:43.291,1781160223.291,2026-06-11T07:43:43.291+0100,0.574,2.547,52.057
07:43:45.838,1781160225.838,2026-06-11T07:43:45.838+0100,0.577,2.547,54.604
07:43:48.385,1781160228.385,2026-06-11T07:43:48.385+0100,0.579,2.547,57.151
07:43:50.933,1781160230.933,2026-06-11T07:43:50.933+0100,0.579,2.547,59.698
07:43:53.480,1781160233.480,2026-06-11T07:43:53.480+0100,0.579,2.547,62.245
07:43:56.027,1781160236.027,2026-06-11T07:43:56.027+0100,0.574,2.547,64.793
07:43:58.574,1781160238.574,2026-06-11T07:43:58.574+0100,0.571,2.547,67.340
07:44:01.121,1781160241.121,2026-06-11T07:44:01.121+0100,0.574,2.547,69.887
07:44:03.668,1781160243.668,2026-06-11T07:44:03.668+0100,0.575,2.547,72.434
07:44:06.215,1781160246.215,2026-06-11T07:44:06.215+0100,0.579,2.547,74.981
07:44:08.762,1781160248.762,2026-06-11T07:44:08.762+0100,0.580,2.547,77.528
07:44:11.310,1781160251.310,2026-06-11T07:44:11.310+0100,0.581,2.547,80.075
07:44:13.857,1781160253.857,2026-06-11T07:44:13.857+0100,0.581,2.547,82.622
07:44:16.404,1781160256.404,2026-06-11T07:44:16.404+0100,0.581,2.547,85.169
07:44:18.951,1781160258.951,2026-06-11T07:44:18.951+0100,0.588,2.547,87.717
07:44:21.498,1781160261.498,2026-06-11T07:44:21.498+0100,0.595,2.547,90.264
07:44:24.045,1781160264.045,2026-06-11T07:44:24.045+0100,0.595,2.547,92.811
07:44:26.592,1781160266.592,2026-06-11T07:44:26.592+0100,0.595,2.547,95.358
07:44:29.139,1781160269.139,2026-06-11T07:44:29.139+0100,0.592,2.547,97.905
07:44:31.686,1781160271.686,2026-06-11T07:44:31.686+0100,0.593,2.547,100.452
07:44:34.233,1781160274.233,2026-06-11T07:44:34.233+0100,0.592,2.547,102.999
07:44:36.781,1781160276.781,2026-06-11T07:44:36.781+0100,0.593,2.547,105.546
07:44:39.328,1781160279.328,2026-06-11T07:44:39.328+0100,0.593,2.547,108.093
07:44:41.875,1781160281.875,2026-06-11T07:44:41.875+0100,0.593,2.547,110.640
07:44:44.422,1781160284.422,2026-06-11T07:44:44.422+0100,0.594,2.547,113.187
07:44:46.969,1781160286.969,2026-06-11T07:44:46.969+0100,0.601,2.547,115.735
07:44:49.516,1781160289.516,2026-06-11T07:44:49.516+0100,0.601,2.547,118.282
07:44:52.063,1781160292.063,2026-06-11T07:44:52.063+0100,0.599,2.547,120.829
07:44:54.610,1781160294.610,2026-06-11T07:44:54.610+0100,0.599,2.547,123.376
07:44:57.157,1781160297.157,2026-06-11T07:44:57.157+0100,0.599,2.547,125.923
07:44:59.704,1781160299.704,2026-06-11T07:44:59.704+0100,0.599,2.547,128.470
07:45:02.251,1781160302.251,2026-06-11T07:45:02.251+0100,0.598,2.547,131.017
07:45:04.798,1781160304.798,2026-06-11T07:45:04.798+0100,0.597,2.547,133.564
07:45:07.345,1781160307.345,2026-06-11T07:45:07.345+0100,0.598,2.547,136.111
07:45:09.892,1781160309.892,2026-06-11T07:45:09.892+0100,0.609,2.547,138.658
07:45:12.439,1781160312.439,2026-06-11T07:45:12.439+0100,0.611,2.547,141.205
07:45:14.986,1781160314.986,2026-06-11T07:45:14.986+0100,0.611,2.547,143.752
