Date,Timestamp,ISO8601,Elevation (meter),Vertical Accuracy (meter),Cumulative Distance (meter),GPS Segment,Since start (second)
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,,,,,0.000
07:42:55.000,1781160175.000,2026-06-11T07:42:55.000+0100,12.605,1.379,9.859,1,3.765
07:42:56.000,1781160176.000,2026-06-11T07:42:56.000+0100,12.155,1.143,12.836,1,4.765
07:42:57.000,1781160177.000,2026-06-11T07:42:57.000+0100,11.775,0.975,15.813,1,5.765
07:42:58.000,1781160178.000,2026-06-11T07:42:58.000+0100,11.470,0.858,19.173,1,6.765
07:42:59.000,1781160179.000,2026-06-11T07:42:59.000+0100,11.237,0.782,22.633,1,7.765
07:43:00.000,1781160180.000,2026-06-11T07:43:00.000+0100,11.063,0.738,26.226,1,8.765
07:43:01.000,1781160181.000,2026-06-11T07:43:01.000+0100,10.936,0.713,30.233,1,9.765
07:43:02.000,1781160182.000,2026-06-11T07:43:02.000+0100,10.844,0.701,34.240,1,10.765
07:43:03.000,1781160183.000,2026-06-11T07:43:03.000+0100,10.778,0.695,37.718,1,11.765
07:43:04.000,1781160184.000,2026-06-11T07:43:04.000+0100,10.729,0.693,40.968,1,12.765
07:43:05.000,1781160185.000,2026-06-11T07:43:05.000+0100,10.691,0.692,44.207,1,13.765
07:43:06.000,1781160186.000,2026-06-11T07:43:06.000+0100,10.659,0.691,47.390,1,14.765
07:43:07.000,1781160187.000,2026-06-11T07:43:07.000+0100,10.630,0.691,50.573,1,15.765
07:43:08.000,1781160188.000,2026-06-11T07:43:08.000+0100,10.601,0.691,53.980,1,16.765
07:43:09.000,1781160189.000,2026-06-11T07:43:09.000+0100,10.571,0.690,57.534,1,17.765
07:43:10.000,1781160190.000,2026-06-11T07:43:10.000+0100,10.539,0.690,61.075,1,18.765
07:43:11.000,1781160191.000,2026-06-11T07:43:11.000+0100,10.504,0.690,64.387,1,19.765
07:43:12.000,1781160192.000,2026-06-11T07:43:12.000+0100,10.466,0.690,67.699,1,20.765
07:43:13.000,1781160193.000,2026-06-11T07:43:13.000+0100,10.424,0.690,70.958,1,21.765
07:43:14.000,1781160194.000,2026-06-11T07:43:14.000+0100,10.381,0.690,74.164,1,22.765
07:43:15.000,1781160195.000,2026-06-11T07:43:15.000+0100,10.336,0.690,77.370,1,23.765
07:43:16.000,1781160196.000,2026-06-11T07:43:16.000+0100,10.292,0.690,79.816,1,24.765
07:43:17.000,1781160197.000,2026-06-11T07:43:17.000+0100,10.249,0.690,82.232,1,25.765
07:43:18.000,1781160198.000,2026-06-11T07:43:18.000+0100,10.208,0.690,85.081,1,26.765
07:43:19.000,1781160199.000,2026-06-11T07:43:19.000+0100,10.170,0.690,88.540,1,27.765
07:43:20.000,1781160200.000,2026-06-11T07:43:20.000+0100,10.135,0.690,91.998,1,28.765
07:43:21.000,1781160201.000,2026-06-11T07:43:21.000+0100,10.103,0.690,95.447,1,29.765
07:43:22.000,1781160202.000,2026-06-11T07:43:22.000+0100,10.074,0.690,98.894,1,30.765
07:43:23.000,1781160203.000,2026-06-11T07:43:23.000+0100,10.048,0.690,102.146,1,31.765
07:43:24.000,1781160204.000,2026-06-11T07:43:24.000+0100,10.026,0.690,104.987,1,32.765
07:43:25.000,1781160205.000,2026-06-11T07:43:25.000+0100,10.007,0.690,107.827,1,33.765
07:43:26.000,1781160206.000,2026-06-11T07:43:26.000+0100,9.993,0.690,110.769,1,34.765
07:43:27.000,1781160207.000,2026-06-11T07:43:27.000+0100,9.983,0.690,113.741,1,35.765
07:43:28.000,1781160208.000,2026-06-11T07:43:28.000+0100,9.975,0.690,116.659,1,36.765
07:43:29.000,1781160209.000,2026-06-11T07:43:29.000+0100,9.970,0.690,119.395,1,37.765
07:43:30.000,1781160210.000,2026-06-11T07:43:30.000+0100,9.964,0.690,122.131,1,38.765
07:43:31.000,1781160211.000,2026-06-11T07:43:31.000+0100,9.958,0.690,125.418,1,39.765
07:43:32.000,1781160212.000,2026-06-11T07:43:32.000+0100,9.950,0.690,128.966,1,40.765
07:43:33.000,1781160213.000,2026-06-11T07:43:33.000+0100,9.941,0.690,132.513,1,41.765
07:43:34.000,1781160214.000,2026-06-11T07:43:34.000+0100,9.930,0.690,136.054,1,42.765
07:43:35.000,1781160215.000,2026-06-11T07:43:35.000+0100,9.919,0.690,139.596,1,43.765
07:43:36.000,1781160216.000,2026-06-11T07:43:36.000+0100,9.906,0.690,143.183,1,44.765
07:43:37.000,1781160217.000,2026-06-11T07:43:37.000+0100,9.893,0.690,146.804,1,45.765
07:43:38.000,1781160218.000,2026-06-11T07:43:38.000+0100,9.878,0.690,150.405,1,46.765
07:43:39.000,1781160219.000,2026-06-11T07:43:39.000+0100,9.863,0.690,153.485,1,47.765
07:43:40.000,1781160220.000,2026-06-11T07:43:40.000+0100,9.846,0.690,156.565,1,48.765
07:43:41.000,1781160221.000,2026-06-11T07:43:41.000+0100,9.828,0.690,159.730,1,49.765
07:43:42.000,1781160222.000,2026-06-11T07:43:42.000+0100,9.809,0.690,162.984,1,50.765
07:43:43.000,1781160223.000,2026-06-11T07:43:43.000+0100,9.788,0.690,166.239,1,51.765
07:43:44.000,1781160224.000,2026-06-11T07:43:44.000+0100,9.768,0.690,170.131,1,52.765
07:43:45.000,1781160225.000,2026-06-11T07:43:45.000+0100,9.749,0.690,174.061,1,53.765
07:43:46.000,1781160226.000,2026-06-11T07:43:46.000+0100,9.731,0.690,177.613,1,54.765
07:43:47.000,1781160227.000,2026-06-11T07:43:47.000+0100,9.716,0.690,180.587,1,55.765
