Date,Timestamp,ISO8601,GCT (ms),Since start (second)
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,,0.000
07:43:07.605,1781160187.605,2026-06-11T07:43:07.605+0100,261,16.371
07:43:12.700,1781160192.700,2026-06-11T07:43:12.700+0100,264,21.465
07:43:17.794,1781160197.794,2026-06-11T07:43:17.794+0100,270,26.560
07:43:22.888,1781160202.888,2026-06-11T07:43:22.888+0100,262,31.654
07:43:27.983,1781160207.983,2026-06-11T07:43:27.983+0100,276,36.748
07:43:33.077,1781160213.077,2026-06-11T07:43:33.077+0100,264,41.843
07:43:38.171,1781160218.171,2026-06-11T07:43:38.171+0100,264,46.937
07:43:43.265,1781160223.265,2026-06-11T07:43:43.265+0100,268,52.031
07:43:48.360,1781160228.360,2026-06-11T07:43:48.360+0100,267,57.125
07:43:53.454,1781160233.454,2026-06-11T07:43:53.454+0100,259,62.220
07:43:58.548,1781160238.548,2026-06-11T07:43:58.548+0100,270,67.314
07:44:03.642,1781160243.642,2026-06-11T07:44:03.642+0100,260,72.408
07:44:08.737,1781160248.737,2026-06-11T07:44:08.737+0100,264,77.502
07:44:13.831,1781160253.831,2026-06-11T07:44:13.831+0100,259,82.597
07:44:18.925,1781160258.925,2026-06-11T07:44:18.925+0100,263,87.691
07:44:24.019,1781160264.019,2026-06-11T07:44:24.019+0100,266,92.785
07:44:29.113,1781160269.113,2026-06-11T07:44:29.113+0100,263,97.879
07:44:34.208,1781160274.208,2026-06-11T07:44:34.208+0100,263,102.973
07:44:39.302,1781160279.302,2026-06-11T07:44:39.302+0100,261,108.067
07:44:44.396,1781160284.396,2026-06-11T07:44:44.396+0100,259,113.162
07:44:49.490,1781160289.490,2026-06-11T07:44:49.490+0100,260,118.256
07:44:54.584,1781160294.584,2026-06-11T07:44:54.584+0100,265,123.350
07:44:59.678,1781160299.678,2026-06-11T07:44:59.678+0100,261,128.444
07:45:04.772,1781160304.772,2026-06-11T07:45:04.772+0100,262,133.538
07:45:09.866,1781160309.866,2026-06-11T07:45:09.866+0100,269,138.632
07:45:14.960,1781160314.960,2026-06-11T07:45:14.960+0100,270,143.726
07:45:20.054,1781160320.054,2026-06-11T07:45:20.054+0100,264,148.820
07:45:25.148,1781160325.148,2026-06-11T07:45:25.148+0100,261,153.914
07:45:30.242,1781160330.242,2026-06-11T07:45:30.242+0100,256,159.008
07:45:35.336,1781160335.336,2026-06-11T07:45:35.336+0100,264,164.102
07:45:40.430,1781160340.430,2026-06-11T07:45:40.430+0100,302,169.196
07:45:45.524,1781160345.524,2026-06-11T07:45:45.524+0100,289,174.290
07:45:50.618,1781160350.618,2026-06-11T07:45:50.618+0100,266,179.384
07:45:55.712,1781160355.712,2026-06-11T07:45:55.712+0100,263,184.478
07:46:00.806,1781160360.806,2026-06-11T07:46:00.806+0100,257,189.572
07:46:05.900,1781160365.900,2026-06-11T07:46:05.900+0100,262,194.666
07:46:10.994,1781160370.994,2026-06-11T07:46:10.994+0100,265,199.760
07:46:16.088,1781160376.088,2026-06-11T07:46:16.088+0100,258,204.854
07:46:21.182,1781160381.182,2026-06-11T07:46:21.182+0100,264,209.948
07:46:26.276,1781160386.276,2026-06-11T07:46:26.276+0100,261,215.042
07:46:31.370,1781160391.370,2026-06-11T07:46:31.370+0100,258,220.136
07:46:36.464,1781160396.464,2026-06-11T07:46:36.464+0100,259,225.230
07:46:41.558,1781160401.558,2026-06-11T07:46:41.558+0100,260,230.324
07:46:46.652,1781160406.652,2026-06-11T07:46:46.652+0100,266,235.417
07:46:51.746,1781160411.746,2026-06-11T07:46:51.746+0100,261,240.511
07:46:56.840,1781160416.840,2026-06-11T07:46:56.840+0100,264,245.605
07:47:01.933,1781160421.933,2026-06-11T07:47:01.933+0100,271,250.699
07:47:07.027,1781160427.027,2026-06-11T07:47:07.027+0100,258,255.793
07:47:12.121,1781160432.121,2026-06-11T07:47:12.121+0100,262,260.887
07:47:17.215,1781160437.215,2026-06-11T07:47:17.215+0100,256,265.981
07:47:22.309,1781160442.309,2026-06-11T07:47:22.309+0100,256,271.075
07:50:12.955,1781160612.955,2026-06-11T07:50:12.955+0100,244,441.720
07:50:18.049,1781160618.049,2026-06-11T07:50:18.049+0100,257,446.814
07:50:23.143,1781160623.143,2026-06-11T07:50:23.143+0100,257,451.908
07:50:28.236,1781160628.236,2026-06-11T07:50:28.236+0100,256,457.002
07:50:33.330,1781160633.330,2026-06-11T07:50:33.330+0100,253,462.096
07:50:38.424,1781160638.424,2026-06-11T07:50:38.424+0100,245,467.190
07:50:43.518,1781160643.518,2026-06-11T07:50:43.518+0100,247,472.284
07:50:48.612,1781160648.612,2026-06-11T07:50:48.612+0100,252,477.377
07:50:53.705,1781160653.705,2026-06-11T07:50:53.705+0100,250,482.471
07:50:58.799,1781160658.799,2026-06-11T07:50:58.799+0100,252,487.565
07:51:03.893,1781160663.893,2026-06-11T07:51:03.893+0100,249,492.659
07:51:08.987,1781160668.987,2026-06-11T07:51:08.987+0100,246,497.753
07:51:14.081,1781160674.081,2026-06-11T07:51:14.081+0100,248,502.846
07:51:19.174,1781160679.174,2026-06-11T07:51:19.174+0100,255,507.940
07:51:24.268,1781160684.268,2026-06-11T07:51:24.268+0100,252,513.034
07:51:29.362,1781160689.362,2026-06-11T07:51:29.362+0100,252,518.128
07:51:34.456,1781160694.456,2026-06-11T07:51:34.456+0100,239,523.221
07:51:39.549,1781160699.549,2026-06-11T07:51:39.549+0100,280,528.315
07:51:44.643,1781160704.643,2026-06-11T07:51:44.643+0100,281,533.409
07:51:49.737,1781160709.737,2026-06-11T07:51:49.737+0100,286,538.503
07:51:54.831,1781160714.831,2026-06-11T07:51:54.831+0100,269,543.596
07:51:59.924,1781160719.924,2026-06-11T07:51:59.924+0100,275,548.690
07:52:05.018,1781160725.018,2026-06-11T07:52:05.018+0100,257,553.784
07:52:10.112,1781160730.112,2026-06-11T07:52:10.112+0100,248,558.877
07:52:15.205,1781160735.205,2026-06-11T07:52:15.205+0100,244,563.971
07:52:20.299,1781160740.299,2026-06-11T07:52:20.299+0100,248,569.065
07:52:25.393,1781160745.393,2026-06-11T07:52:25.393+0100,247,574.159
07:52:30.487,1781160750.487,2026-06-11T07:52:30.487+0100,250,579.252
07:52:35.580,1781160755.580,2026-06-11T07:52:35.580+0100,252,584.346
07:52:40.674,1781160760.674,2026-06-11T07:52:40.674+0100,265,589.440
07:52:45.768,1781160765.768,2026-06-11T07:52:45.768+0100,258,594.533
07:52:50.861,1781160770.861,2026-06-11T07:52:50.861+0100,261,599.627
07:52:55.955,1781160775.955,2026-06-11T07:52:55.955+0100,249,604.721
07:53:01.049,1781160781.049,2026-06-11T07:53:01.049+0100,273,609.814
07:53:06.142,1781160786.142,2026-06-11T07:53:06.142+0100,242,614.908
07:53:11.236,1781160791.236,2026-06-11T07:53:11.236+0100,251,620.002
07:53:16.330,1781160796.330,2026-06-11T07:53:16.330+0100,249,625.095
07:53:21.423,1781160801.423,2026-06-11T07:53:21.423+0100,247,630.189
07:53:26.517,1781160806.517,2026-06-11T07:53:26.517+0100,244,635.283
