Date,Timestamp,ISO8601,Heart Rate (bpm),Cumulative Distance (meter),Since start (second)
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,,,0.000
07:42:51.743,1781160171.743,2026-06-11T07:42:51.743+0100,82,2.417,0.508
07:42:52.704,1781160172.704,2026-06-11T07:42:52.704+0100,82,2.417,1.470
07:42:53.723,1781160173.723,2026-06-11T07:42:53.723+0100,82,4.834,2.488
07:42:54.743,1781160174.743,2026-06-11T07:42:54.743+0100,82,9.859,3.509
07:42:55.703,1781160175.703,2026-06-11T07:42:55.703+0100,83,9.859,4.469
07:42:56.723,1781160176.723,2026-06-11T07:42:56.723+0100,83,12.836,5.489
07:42:57.743,1781160177.743,2026-06-11T07:42:57.743+0100,83,19.173,6.509
07:42:58.704,1781160178.704,2026-06-11T07:42:58.704+0100,84,19.173,7.469
07:42:59.723,1781160179.723,2026-06-11T07:42:59.723+0100,86,22.633,8.489
07:43:00.713,1781160180.713,2026-06-11T07:43:00.713+0100,87,26.226,9.479
07:43:01.703,1781160181.703,2026-06-11T07:43:01.703+0100,87,30.233,10.469
07:43:02.754,1781160182.754,2026-06-11T07:43:02.754+0100,88,37.718,11.520
07:43:03.713,1781160183.713,2026-06-11T07:43:03.713+0100,88,37.718,12.479
07:43:04.703,1781160184.703,2026-06-11T07:43:04.703+0100,88,40.968,13.469
07:43:05.723,1781160185.723,2026-06-11T07:43:05.723+0100,89,44.207,14.489
07:43:06.713,1781160186.713,2026-06-11T07:43:06.713+0100,89,47.390,15.479
07:43:07.703,1781160187.703,2026-06-11T07:43:07.703+0100,90,50.573,16.469
07:43:08.723,1781160188.723,2026-06-11T07:43:08.723+0100,92,53.980,17.489
07:43:09.744,1781160189.744,2026-06-11T07:43:09.744+0100,93,61.075,18.509
07:43:10.703,1781160190.703,2026-06-11T07:43:10.703+0100,94,61.075,19.469
07:43:11.723,1781160191.723,2026-06-11T07:43:11.723+0100,96,64.387,20.489
07:43:12.743,1781160192.743,2026-06-11T07:43:12.743+0100,97,70.958,21.509
07:43:13.703,1781160193.703,2026-06-11T07:43:13.703+0100,99,70.958,22.469
07:43:14.729,1781160194.729,2026-06-11T07:43:14.729+0100,100,74.164,23.494
07:43:15.743,1781160195.743,2026-06-11T07:43:15.743+0100,101,79.816,24.509
07:43:16.703,1781160196.703,2026-06-11T07:43:16.703+0100,103,79.816,25.469
07:43:17.724,1781160197.724,2026-06-11T07:43:17.724+0100,105,82.232,26.490
07:43:18.747,1781160198.747,2026-06-11T07:43:18.747+0100,106,88.540,27.513
07:43:19.764,1781160199.764,2026-06-11T07:43:19.764+0100,108,91.998,28.530
07:43:20.723,1781160200.723,2026-06-11T07:43:20.723+0100,109,91.998,29.489
07:43:21.744,1781160201.744,2026-06-11T07:43:21.744+0100,111,98.894,30.509
07:43:22.703,1781160202.703,2026-06-11T07:43:22.703+0100,112,98.894,31.469
07:43:23.723,1781160203.723,2026-06-11T07:43:23.723+0100,113,102.146,32.489
07:43:24.863,1781160204.863,2026-06-11T07:43:24.863+0100,113,107.827,33.629
07:43:25.703,1781160205.703,2026-06-11T07:43:25.703+0100,114,107.827,34.469
07:43:26.783,1781160206.783,2026-06-11T07:43:26.783+0100,115,113.741,35.549
07:43:27.743,1781160207.743,2026-06-11T07:43:27.743+0100,116,116.659,36.509
07:43:28.703,1781160208.703,2026-06-11T07:43:28.703+0100,117,116.659,37.469
07:43:29.723,1781160209.723,2026-06-11T07:43:29.723+0100,117,119.395,38.489
07:43:30.743,1781160210.743,2026-06-11T07:43:30.743+0100,118,125.418,39.509
07:43:31.703,1781160211.703,2026-06-11T07:43:31.703+0100,118,125.418,40.469
07:43:32.783,1781160212.783,2026-06-11T07:43:32.783+0100,118,132.513,41.549
07:43:33.743,1781160213.743,2026-06-11T07:43:33.743+0100,118,136.054,42.509
07:43:34.703,1781160214.703,2026-06-11T07:43:34.703+0100,119,136.054,43.469
07:43:35.723,1781160215.723,2026-06-11T07:43:35.723+0100,119,139.596,44.489
07:43:36.743,1781160216.743,2026-06-11T07:43:36.743+0100,120,146.804,45.509
07:43:37.703,1781160217.703,2026-06-11T07:43:37.703+0100,120,146.804,46.469
07:43:38.723,1781160218.723,2026-06-11T07:43:38.723+0100,120,150.405,47.489
07:43:39.743,1781160219.743,2026-06-11T07:43:39.743+0100,120,156.565,48.509
07:43:40.763,1781160220.763,2026-06-11T07:43:40.763+0100,120,159.730,49.529
07:43:41.723,1781160221.723,2026-06-11T07:43:41.723+0100,120,159.730,50.489
07:43:42.743,1781160222.743,2026-06-11T07:43:42.743+0100,120,166.239,51.509
07:43:43.703,1781160223.703,2026-06-11T07:43:43.703+0100,120,166.239,52.469
07:43:44.725,1781160224.725,2026-06-11T07:43:44.725+0100,121,170.131,53.491
07:43:45.743,1781160225.743,2026-06-11T07:43:45.743+0100,121,177.613,54.509
07:43:46.703,1781160226.703,2026-06-11T07:43:46.703+0100,121,177.613,55.469
07:43:47.723,1781160227.723,2026-06-11T07:43:47.723+0100,121,180.587,56.489
07:43:48.743,1781160228.743,2026-06-11T07:43:48.743+0100,121,186.859,57.509
07:43:49.703,1781160229.703,2026-06-11T07:43:49.703+0100,121,186.859,58.469
07:43:50.783,1781160230.783,2026-06-11T07:43:50.783+0100,122,193.594,59.549
07:43:51.743,1781160231.743,2026-06-11T07:43:51.743+0100,122,197.031,60.509
07:43:52.763,1781160232.763,2026-06-11T07:43:52.763+0100,122,200.469,61.529
07:43:53.723,1781160233.723,2026-06-11T07:43:53.723+0100,122,200.469,62.489
07:43:54.744,1781160234.744,2026-06-11T07:43:54.744+0100,122,206.712,63.509
07:43:55.704,1781160235.704,2026-06-11T07:43:55.704+0100,122,206.712,64.469
07:43:56.723,1781160236.723,2026-06-11T07:43:56.723+0100,122,209.768,65.489
07:43:57.744,1781160237.744,2026-06-11T07:43:57.744+0100,122,215.716,66.509
07:43:58.705,1781160238.705,2026-06-11T07:43:58.705+0100,122,215.716,67.471
07:43:59.724,1781160239.724,2026-06-11T07:43:59.724+0100,122,218.688,68.489
07:44:00.743,1781160240.743,2026-06-11T07:44:00.743+0100,123,224.719,69.509
07:44:01.703,1781160241.703,2026-06-11T07:44:01.703+0100,123,224.719,70.469
07:44:02.723,1781160242.723,2026-06-11T07:44:02.723+0100,123,228.476,71.489
07:44:03.803,1781160243.803,2026-06-11T07:44:03.803+0100,123,235.802,72.569
07:44:04.704,1781160244.704,2026-06-11T07:44:04.704+0100,123,235.802,73.469
07:44:05.784,1781160245.784,2026-06-11T07:44:05.784+0100,123,242.656,74.549
07:44:06.744,1781160246.744,2026-06-11T07:44:06.744+0100,123,246.187,75.509
07:44:07.704,1781160247.704,2026-06-11T07:44:07.704+0100,123,246.187,76.470
07:44:08.723,1781160248.723,2026-06-11T07:44:08.723+0100,124,249.718,77.489
07:44:09.744,1781160249.744,2026-06-11T07:44:09.744+0100,124,256.762,78.509
07:44:10.704,1781160250.704,2026-06-11T07:44:10.704+0100,124,256.762,79.469
07:44:11.724,1781160251.724,2026-06-11T07:44:11.724+0100,124,260.281,80.489
07:44:12.744,1781160252.744,2026-06-11T07:44:12.744+0100,124,266.609,81.509
07:44:13.704,1781160253.704,2026-06-11T07:44:13.704+0100,124,266.609,82.469
07:44:14.784,1781160254.784,2026-06-11T07:44:14.784+0100,124,272.543,83.550
07:44:15.743,1781160255.743,2026-06-11T07:44:15.743+0100,124,275.428,84.509
07:44:16.763,1781160256.763,2026-06-11T07:44:16.763+0100,125,278.907,85.529
07:44:17.725,1781160257.725,2026-06-11T07:44:17.725+0100,125,278.907,86.490
07:44:18.744,1781160258.744,2026-06-11T07:44:18.744+0100,125,286.069,87.510
07:44:19.704,1781160259.704,2026-06-11T07:44:19.704+0100,125,286.069,88.469
07:44:20.724,1781160260.724,2026-06-11T07:44:20.724+0100,125,289.533,89.490
07:44:21.745,1781160261.745,2026-06-11T07:44:21.745+0100,126,296.361,90.511
07:44:22.764,1781160262.764,2026-06-11T07:44:22.764+0100,126,299.692,91.530
07:44:23.724,1781160263.724,2026-06-11T07:44:23.724+0100,126,299.692,92.490
