Time,Timestamp,ISO8601,Heart Rate (bpm),Power (watt),Cadence (count/min),Latitude (°),Longitude (°),Elevation (meter),Horizontal accuracy (meter),Vertical accuracy (meter),Distance (meter),Speed (m/s),Stride length (mm),VO (mm),GCT (ms),Lap,Intensity,Since start (second)
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,,,,,,,,,,,,,,,,0.000
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,,,65,,,,,,,,,,,1,active,0.000
07:42:52.234,1781160172.234,2026-06-11T07:42:52.234+0100,82,,65,,,,,,0.000,3.473,,,,1,active,1.000
07:42:53.234,1781160173.234,2026-06-11T07:42:53.234+0100,82,,65,,,,,,3.473,3.473,,,,1,active,2.000
07:42:54.234,1781160174.234,2026-06-11T07:42:54.234+0100,82,,65,,,,,,6.947,3.473,,,,1,active,3.000
07:42:55.234,1781160175.234,2026-06-11T07:42:55.234+0100,82,181,65,51.422795,-0.321825,12.605,1.297101,1.379069,10.195,3.178,,,,1,active,4.000
07:42:56.234,1781160176.234,2026-06-11T07:42:56.234+0100,83,206,65,51.422809,-0.321798,12.155,1.212196,1.143423,13.173,3.181,,,,1,active,5.000
07:42:57.234,1781160177.234,2026-06-11T07:42:57.234+0100,83,230,65,51.422828,-0.321781,11.775,1.143216,0.974988,16.150,3.184,,,,1,active,6.000
07:42:58.234,1781160178.234,2026-06-11T07:42:58.234+0100,83,245,65,51.422851,-0.321773,11.470,1.085864,0.858182,19.564,3.196,,,,1,active,7.000
07:42:59.234,1781160179.234,2026-06-11T07:42:59.234+0100,84,248,67,51.422876,-0.321770,11.237,1.038124,0.782430,23.024,3.221,,,,1,active,8.000
07:43:00.234,1781160180.234,2026-06-11T07:43:00.234+0100,86,251,69,51.422905,-0.321769,11.063,1.003582,0.737591,26.680,3.245,1230,,,1,active,9.000
07:43:01.234,1781160181.234,2026-06-11T07:43:01.234+0100,87,255,72,51.422936,-0.321765,10.936,0.981067,0.713277,30.686,3.301,1242,,,1,active,10.000
