Date,Timestamp,ISO8601,Physical Effort (METs),Duration (second),Since start (second)
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,,,0.000
07:42:59.976,1781160179.976,2026-06-11T07:42:59.976+0100,12.100,15.296,8.742
07:43:15.260,1781160195.260,2026-06-11T07:43:15.260+0100,11.600,10.202,24.025
07:43:25.448,1781160205.448,2026-06-11T07:43:25.448+0100,11.400,12.749,34.214
07:43:38.184,1781160218.184,2026-06-11T07:43:38.184+0100,11.800,40.767,46.950
07:44:18.938,1781160258.938,2026-06-11T07:44:18.938+0100,12.100,48.407,87.704
07:45:07.332,1781160307.332,2026-06-11T07:45:07.332+0100,12.400,28.030,136.098
07:45:35.349,1781160335.349,2026-06-11T07:45:35.349+0100,10.800,17.842,164.115
07:45:53.178,1781160353.178,2026-06-11T07:45:53.178+0100,11.100,15.295,181.944
07:46:08.460,1781160368.460,2026-06-11T07:46:08.460+0100,11.300,10.201,197.226
07:46:18.648,1781160378.648,2026-06-11T07:46:18.648+0100,11.300,45.858,207.414
07:47:04.493,1781160424.493,2026-06-11T07:47:04.493+0100,11.700,17.842,253.259
07:47:22.322,1781160442.322,2026-06-11T07:47:22.322+0100,10.100,7.654,271.088
07:49:52.592,1781160592.592,2026-06-11T07:49:52.592+0100,5.700,10.201,421.358
07:50:02.780,1781160602.780,2026-06-11T07:50:02.780+0100,11.900,22.936,431.546
07:50:25.703,1781160625.703,2026-06-11T07:50:25.703+0100,12.700,7.654,454.468
07:50:33.343,1781160633.343,2026-06-11T07:50:33.343+0100,12.900,50.951,462.109
07:51:24.281,1781160684.281,2026-06-11T07:51:24.281+0100,12.500,12.747,513.047
07:51:37.016,1781160697.016,2026-06-11T07:51:37.016+0100,11.900,20.388,525.781
07:51:57.391,1781160717.391,2026-06-11T07:51:57.391+0100,11.700,10.201,546.156
07:52:07.578,1781160727.578,2026-06-11T07:52:07.578+0100,12.100,10.201,556.344
07:52:17.765,1781160737.765,2026-06-11T07:52:17.765+0100,12.600,17.841,566.531
07:52:35.593,1781160755.593,2026-06-11T07:52:35.593+0100,11.900,17.841,584.359
07:52:53.421,1781160773.421,2026-06-11T07:52:53.421+0100,12.300,15.294,602.187
07:53:08.702,1781160788.702,2026-06-11T07:53:08.702+0100,12.800,33.122,617.468
07:53:41.811,1781160821.811,2026-06-11T07:53:41.811+0100,12.400,12.747,650.577
07:53:54.545,1781160834.545,2026-06-11T07:53:54.545+0100,12.700,99.338,663.311
07:55:33.870,1781160933.870,2026-06-11T07:55:33.870+0100,10.500,15.294,762.636
07:55:49.151,1781160949.151,2026-06-11T07:55:49.151+0100,12.400,33.121,777.916
07:56:22.259,1781160982.259,2026-06-11T07:56:22.259+0100,12.200,45.855,811.025
07:57:08.100,1781161028.100,2026-06-11T07:57:08.100+0100,12.500,12.747,856.866
07:57:20.834,1781161040.834,2026-06-11T07:57:20.834+0100,12.600,43.308,869.600
07:58:04.129,1781161084.129,2026-06-11T07:58:04.129+0100,12.000,33.121,912.894
07:58:37.236,1781161117.236,2026-06-11T07:58:37.236+0100,12.300,15.293,946.001
07:58:52.516,1781161132.516,2026-06-11T07:58:52.516+0100,12.700,28.027,961.282
07:59:20.529,1781161160.529,2026-06-11T07:59:20.529+0100,12.500,17.840,989.295
07:59:38.356,1781161178.356,2026-06-11T07:59:38.356+0100,11.800,10.200,1007.122
07:59:48.543,1781161188.543,2026-06-11T07:59:48.543+0100,12.300,10.200,1017.309
07:59:58.730,1781161198.730,2026-06-11T07:59:58.730+0100,12.600,68.773,1027.495
08:01:07.489,1781161267.489,2026-06-11T08:01:07.489+0100,13.200,25.480,1096.255
08:01:32.956,1781161292.956,2026-06-11T08:01:32.956+0100,12.600,40.760,1121.721
08:03:40.289,1781161420.289,2026-06-11T08:03:40.289+0100,9.300,12.747,1249.055
08:03:53.022,1781161433.022,2026-06-11T08:03:53.022+0100,11.600,20.387,1261.788
08:04:13.396,1781161453.396,2026-06-11T08:04:13.396+0100,11.700,22.934,1282.162
08:04:36.316,1781161476.316,2026-06-11T08:04:36.316+0100,10.900,7.653,1305.082
08:04:43.956,1781161483.956,2026-06-11T08:04:43.956+0100,10.400,15.294,1312.722
08:04:59.237,1781161499.237,2026-06-11T08:04:59.237+0100,12.600,15.294,1328.002
08:05:14.517,1781161514.517,2026-06-11T08:05:14.517+0100,13.700,7.653,1343.283
08:05:22.157,1781161522.157,2026-06-11T08:05:22.157+0100,12.900,10.200,1350.923
08:05:32.344,1781161532.344,2026-06-11T08:05:32.344+0100,12.900,15.293,1361.109
08:05:47.624,1781161547.624,2026-06-11T08:05:47.624+0100,12.100,10.200,1376.390
08:05:57.811,1781161557.811,2026-06-11T08:05:57.811+0100,13.800,15.293,1386.576
08:06:13.091,1781161573.091,2026-06-11T08:06:13.091+0100,16.500,12.747,1401.856
08:06:25.824,1781161585.824,2026-06-11T08:06:25.824+0100,16.700,17.840,1414.590
08:06:43.650,1781161603.650,2026-06-11T08:06:43.650+0100,17.200,7.653,1432.416
08:06:51.290,1781161611.290,2026-06-11T08:06:51.290+0100,16.900,15.293,1440.056
08:07:06.570,1781161626.570,2026-06-11T08:07:06.570+0100,16.300,48.399,1455.336
08:07:54.956,1781161674.956,2026-06-11T08:07:54.956+0100,16.100,25.479,1503.722
