Date,Timestamp,ISO8601,Distance (meter),Cumulative Distance (meter),Duration (second),Speed (m/s),Since start (second)
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,,,,,0.000
07:42:52.347,1781160172.347,2026-06-11T07:42:52.347+0100,8.848,8.848,2.547,3.473,1.113
07:42:54.895,1781160174.895,2026-06-11T07:42:54.895+0100,7.584,16.431,2.547,2.977,3.660
07:42:57.442,1781160177.442,2026-06-11T07:42:57.442+0100,8.813,25.244,2.547,3.460,6.208
07:42:59.989,1781160179.989,2026-06-11T07:42:59.989+0100,10.206,35.450,2.547,4.007,8.755
07:43:02.536,1781160182.536,2026-06-11T07:43:02.536+0100,8.277,43.727,2.547,3.249,11.302
07:43:05.084,1781160185.084,2026-06-11T07:43:05.084+0100,8.108,51.835,2.547,3.183,13.849
07:43:07.631,1781160187.631,2026-06-11T07:43:07.631+0100,9.053,60.888,2.547,3.554,16.396
07:43:10.178,1781160190.178,2026-06-11T07:43:10.178+0100,8.437,69.325,2.547,3.312,18.944
07:43:12.725,1781160192.725,2026-06-11T07:43:12.725+0100,8.167,77.492,2.547,3.206,21.491
07:43:15.272,1781160195.272,2026-06-11T07:43:15.272+0100,6.154,83.646,2.547,2.416,24.038
07:43:17.820,1781160197.820,2026-06-11T07:43:17.820+0100,8.810,92.456,2.547,3.459,26.585
07:43:20.367,1781160200.367,2026-06-11T07:43:20.367+0100,8.780,101.236,2.547,3.447,29.132
07:43:22.914,1781160202.914,2026-06-11T07:43:22.914+0100,7.235,108.471,2.547,2.840,31.680
07:43:25.461,1781160205.461,2026-06-11T07:43:25.461+0100,7.569,116.040,2.547,2.972,34.227
07:43:28.008,1781160208.008,2026-06-11T07:43:28.008+0100,6.970,123.010,2.547,2.736,36.774
07:43:30.555,1781160210.555,2026-06-11T07:43:30.555+0100,9.036,132.046,2.547,3.548,39.321
07:43:33.103,1781160213.103,2026-06-11T07:43:33.103+0100,9.020,141.067,2.547,3.541,41.868
07:43:35.650,1781160215.650,2026-06-11T07:43:35.650+0100,9.223,150.289,2.547,3.621,44.415
07:43:38.197,1781160218.197,2026-06-11T07:43:38.197+0100,7.845,158.135,2.547,3.080,46.963
07:43:40.744,1781160220.744,2026-06-11T07:43:40.744+0100,8.289,166.424,2.547,3.254,49.510
07:43:43.291,1781160223.291,2026-06-11T07:43:43.291+0100,10.011,176.435,2.547,3.930,52.057
07:43:45.838,1781160225.838,2026-06-11T07:43:45.838+0100,7.576,184.011,2.547,2.974,54.604
07:43:48.385,1781160228.385,2026-06-11T07:43:48.385+0100,8.546,192.557,2.547,3.355,57.151
07:43:50.933,1781160230.933,2026-06-11T07:43:50.933+0100,8.755,201.312,2.547,3.437,59.698
07:43:53.480,1781160233.480,2026-06-11T07:43:53.480+0100,7.839,209.151,2.547,3.078,62.245
07:43:56.027,1781160236.027,2026-06-11T07:43:56.027+0100,7.575,216.726,2.547,2.974,64.793
07:43:58.574,1781160238.574,2026-06-11T07:43:58.574+0100,7.567,224.294,2.547,2.971,67.340
07:44:01.121,1781160241.121,2026-06-11T07:44:01.121+0100,9.570,233.863,2.547,3.757,69.887
07:44:03.668,1781160243.668,2026-06-11T07:44:03.668+0100,8.726,242.589,2.547,3.426,72.434
07:44:06.215,1781160246.215,2026-06-11T07:44:06.215+0100,8.994,251.583,2.547,3.531,74.981
07:44:08.762,1781160248.762,2026-06-11T07:44:08.762+0100,8.963,260.546,2.547,3.519,77.528
07:44:11.310,1781160251.310,2026-06-11T07:44:11.310+0100,8.024,268.570,2.547,3.150,80.075
07:44:13.857,1781160253.857,2026-06-11T07:44:13.857+0100,7.347,275.917,2.547,2.884,82.622
07:44:16.404,1781160256.404,2026-06-11T07:44:16.404+0100,9.171,285.088,2.547,3.601,85.169
07:44:18.951,1781160258.951,2026-06-11T07:44:18.951+0100,8.821,293.909,2.547,3.463,87.717
07:44:21.498,1781160261.498,2026-06-11T07:44:21.498+0100,8.483,302.392,2.547,3.331,90.264
07:44:24.045,1781160264.045,2026-06-11T07:44:24.045+0100,8.241,310.633,2.547,3.235,92.811
07:44:26.592,1781160266.592,2026-06-11T07:44:26.592+0100,8.860,319.493,2.547,3.478,95.358
07:44:29.139,1781160269.139,2026-06-11T07:44:29.139+0100,8.587,328.080,2.547,3.371,97.905
07:44:31.686,1781160271.686,2026-06-11T07:44:31.686+0100,8.838,336.918,2.547,3.470,100.452
07:44:34.233,1781160274.233,2026-06-11T07:44:34.233+0100,7.059,343.977,2.547,2.771,102.999
07:44:36.781,1781160276.781,2026-06-11T07:44:36.781+0100,9.533,353.510,2.547,3.743,105.546
07:44:39.328,1781160279.328,2026-06-11T07:44:39.328+0100,8.474,361.984,2.547,3.327,108.093
07:44:41.875,1781160281.875,2026-06-11T07:44:41.875+0100,7.863,369.847,2.547,3.087,110.640
07:44:44.422,1781160284.422,2026-06-11T07:44:44.422+0100,10.431,380.278,2.547,4.095,113.187
07:44:46.969,1781160286.969,2026-06-11T07:44:46.969+0100,9.178,389.457,2.547,3.604,115.735
07:44:49.516,1781160289.516,2026-06-11T07:44:49.516+0100,8.399,397.855,2.547,3.297,118.282
07:44:52.063,1781160292.063,2026-06-11T07:44:52.063+0100,8.857,406.712,2.547,3.477,120.829
07:44:54.610,1781160294.610,2026-06-11T07:44:54.610+0100,8.904,415.616,2.547,3.496,123.376
07:44:57.157,1781160297.157,2026-06-11T07:44:57.157+0100,7.012,422.628,2.547,2.753,125.923
07:44:59.704,1781160299.704,2026-06-11T07:44:59.704+0100,8.529,431.157,2.547,3.349,128.470
07:45:02.251,1781160302.251,2026-06-11T07:45:02.251+0100,8.943,440.101,2.547,3.511,131.017
07:45:04.798,1781160304.798,2026-06-11T07:45:04.798+0100,8.179,448.280,2.547,3.211,133.564
07:45:07.345,1781160307.345,2026-06-11T07:45:07.345+0100,10.525,458.805,2.547,4.132,136.111
07:45:09.892,1781160309.892,2026-06-11T07:45:09.892+0100,9.350,468.155,2.547,3.671,138.658
07:45:12.439,1781160312.439,2026-06-11T07:45:12.439+0100,9.096,477.251,2.547,3.571,141.205
07:45:14.986,1781160314.986,2026-06-11T07:45:14.986+0100,8.706,485.957,2.547,3.418,143.752
07:45:17.533,1781160317.533,2026-06-11T07:45:17.533+0100,9.108,495.065,2.547,3.576,146.299
07:45:20.080,1781160320.080,2026-06-11T07:45:20.080+0100,6.783,501.848,2.547,2.663,148.846
07:45:22.627,1781160322.627,2026-06-11T07:45:22.627+0100,10.344,512.192,2.547,4.061,151.393
07:45:25.174,1781160325.174,2026-06-11T07:45:25.174+0100,8.686,520.878,2.547,3.410,153.940
07:45:27.721,1781160327.721,2026-06-11T07:45:27.721+0100,9.209,530.087,2.547,3.616,156.487
07:45:30.268,1781160330.268,2026-06-11T07:45:30.268+0100,9.313,539.401,2.547,3.657,159.034
07:45:32.815,1781160332.815,2026-06-11T07:45:32.815+0100,8.878,548.278,2.547,3.486,161.581
07:45:35.362,1781160335.362,2026-06-11T07:45:35.362+0100,7.096,555.374,2.547,2.786,164.128
07:45:37.909,1781160337.909,2026-06-11T07:45:37.909+0100,5.894,561.268,2.547,2.314,166.675
07:45:40.456,1781160340.456,2026-06-11T07:45:40.456+0100,5.186,566.454,2.547,2.036,169.222
07:45:43.003,1781160343.003,2026-06-11T07:45:43.003+0100,7.253,573.707,2.547,2.848,171.769
07:45:45.550,1781160345.550,2026-06-11T07:45:45.550+0100,5.059,578.766,2.547,1.986,174.316
07:45:48.097,1781160348.097,2026-06-11T07:45:48.097+0100,8.921,587.687,2.547,3.503,176.863
07:45:50.644,1781160350.644,2026-06-11T07:45:50.644+0100,8.398,596.085,2.547,3.297,179.410
07:45:53.191,1781160353.191,2026-06-11T07:45:53.191+0100,7.037,603.122,2.547,2.763,181.957
07:45:55.738,1781160355.738,2026-06-11T07:45:55.738+0100,7.209,610.331,2.547,2.830,184.504
07:45:58.285,1781160358.285,2026-06-11T07:45:58.285+0100,6.561,616.892,2.547,2.576,187.051
