Date,Timestamp,ISO8601,Speed (m/s),Cumulative Distance (meter),Since start (second)
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,,,0.000
07:42:54.895,1781160174.895,2026-06-11T07:42:54.895+0100,3.178,9.859,3.660
07:42:57.442,1781160177.442,2026-06-11T07:42:57.442+0100,3.185,15.813,6.208
07:42:59.989,1781160179.989,2026-06-11T07:42:59.989+0100,3.247,26.226,8.755
07:43:02.536,1781160182.536,2026-06-11T07:43:02.536+0100,3.399,34.240,11.302
07:43:05.084,1781160185.084,2026-06-11T07:43:05.084+0100,3.395,44.207,13.849
07:43:07.631,1781160187.631,2026-06-11T07:43:07.631+0100,3.405,50.573,16.396
07:43:10.178,1781160190.178,2026-06-11T07:43:10.178+0100,3.426,61.075,18.944
07:43:12.725,1781160192.725,2026-06-11T07:43:12.725+0100,3.431,67.699,21.491
07:43:15.272,1781160195.272,2026-06-11T07:43:15.272+0100,3.371,77.370,24.038
07:43:17.820,1781160197.820,2026-06-11T07:43:17.820+0100,3.268,85.081,26.585
07:43:20.367,1781160200.367,2026-06-11T07:43:20.367+0100,3.254,91.998,29.132
07:43:22.914,1781160202.914,2026-06-11T07:43:22.914+0100,3.282,102.146,31.680
07:43:25.461,1781160205.461,2026-06-11T07:43:25.461+0100,3.264,107.827,34.227
07:43:28.008,1781160208.008,2026-06-11T07:43:28.008+0100,3.195,116.659,36.774
07:43:30.555,1781160210.555,2026-06-11T07:43:30.555+0100,3.154,122.131,39.321
07:43:33.103,1781160213.103,2026-06-11T07:43:33.103+0100,3.194,132.513,41.868
07:43:35.650,1781160215.650,2026-06-11T07:43:35.650+0100,3.218,139.596,44.415
07:43:38.197,1781160218.197,2026-06-11T07:43:38.197+0100,3.251,150.405,46.963
07:43:40.744,1781160220.744,2026-06-11T07:43:40.744+0100,3.271,159.730,49.510
07:43:43.291,1781160223.291,2026-06-11T07:43:43.291+0100,3.305,166.239,52.057
07:43:45.838,1781160225.838,2026-06-11T07:43:45.838+0100,3.353,177.613,54.604
07:43:48.385,1781160228.385,2026-06-11T07:43:48.385+0100,3.319,183.562,57.151
07:43:50.933,1781160230.933,2026-06-11T07:43:50.933+0100,3.331,193.594,59.698
07:43:53.480,1781160233.480,2026-06-11T07:43:53.480+0100,3.338,200.469,62.245
07:43:56.027,1781160236.027,2026-06-11T07:43:56.027+0100,3.289,209.768,64.793
07:43:58.574,1781160238.574,2026-06-11T07:43:58.574+0100,3.304,215.716,67.340
07:44:01.121,1781160241.121,2026-06-11T07:44:01.121+0100,3.278,224.719,69.887
07:44:03.668,1781160243.668,2026-06-11T07:44:03.668+0100,3.313,232.233,72.434
07:44:06.215,1781160246.215,2026-06-11T07:44:06.215+0100,3.338,242.656,74.981
07:44:08.762,1781160248.762,2026-06-11T07:44:08.762+0100,3.332,253.243,77.528
07:44:11.310,1781160251.310,2026-06-11T07:44:11.310+0100,3.346,260.281,80.075
07:44:13.857,1781160253.857,2026-06-11T07:44:13.857+0100,3.343,269.659,82.622
07:44:16.404,1781160256.404,2026-06-11T07:44:16.404+0100,3.337,275.428,85.169
07:44:18.951,1781160258.951,2026-06-11T07:44:18.951+0100,3.377,286.069,87.717
07:44:21.498,1781160261.498,2026-06-11T07:44:21.498+0100,3.417,292.996,90.264
07:44:24.045,1781160264.045,2026-06-11T07:44:24.045+0100,3.418,303.004,92.811
07:44:26.592,1781160266.592,2026-06-11T07:44:26.592+0100,3.396,309.475,95.358
07:44:29.139,1781160269.139,2026-06-11T07:44:29.139+0100,3.415,319.813,97.905
07:44:31.686,1781160271.686,2026-06-11T07:44:31.686+0100,3.399,326.556,100.452
07:44:34.233,1781160274.233,2026-06-11T07:44:34.233+0100,3.406,336.921,102.999
07:44:36.781,1781160276.781,2026-06-11T07:44:36.781+0100,3.400,345.676,105.546
07:44:39.328,1781160279.328,2026-06-11T07:44:39.328+0100,3.405,353.161,108.093
07:44:41.875,1781160281.875,2026-06-11T07:44:41.875+0100,3.412,363.095,110.640
07:44:44.422,1781160284.422,2026-06-11T07:44:44.422+0100,3.392,369.269,113.187
