Date,Timestamp,ISO8601,Split,Distance (meter),Duration (second),Speed (m/s),1 km Pace (min/km),Heart Rate (bpm),Active Energy (kcal),Running Power (watt),GCT (ms),VO (mm),Stride Length (mm),Since start (second)
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,,,,,,,,,,,,0.000
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,1,1000.000,307.454,3.253,5'07'',118,68,256,264,108,1,0.000
07:50:25.146,1781160625.146,2026-06-11T07:50:25.146+0100,2,1000.000,287.124,3.483,4'47'',128,70,281,253,104,1,453.912
07:55:12.270,1781160912.270,2026-06-11T07:55:12.270+0100,3,1000.000,293.637,3.406,4'54'',128,70,274,253,105,1,741.036
08:00:05.908,1781161205.908,2026-06-11T08:00:05.908+0100,4,1000.000,292.648,3.417,4'53'',124,70,277,257,102,1,1034.673
08:06:24.877,1781161584.877,2026-06-11T08:06:24.877+0100,5,1000.000,238.604,4.191,3'59'',147,72,341,243,96,1,1413.642
08:10:23.481,1781161823.481,2026-06-11T08:10:23.481+0100,6,1000.000,236.858,4.222,3'57'',142,70,339,238,97,1,1652.246
08:14:20.338,1781162060.338,2026-06-11T08:14:20.338+0100,7,1000.000,247.208,4.045,4'07'',143,71,327,239,97,1,1889.104
08:18:27.546,1781162307.546,2026-06-11T08:18:27.546+0100,8,1000.000,254.621,3.927,4'15'',146,70,317,239,95,1,2136.312
08:22:42.167,1781162562.167,2026-06-11T08:22:42.167+0100,9,1000.000,241.297,4.144,4'01'',150,72,326,234,93,1,2390.933
08:26:43.464,1781162803.464,2026-06-11T08:26:43.464+0100,10,1000.000,234.664,4.261,3'55'',147,71,345,229,92,1,2632.230
08:30:38.128,1781163038.128,2026-06-11T08:30:38.128+0100,11,1000.000,264.416,3.782,4'24'',145,75,313,244,95,1,2866.894
08:35:02.544,1781163302.544,2026-06-11T08:35:02.544+0100,12,1000.000,254.054,3.936,4'14'',147,71,316,236,96,1,3131.310
08:39:16.598,1781163556.598,2026-06-11T08:39:16.598+0100,13,1000.000,255.059,3.921,4'15'',150,72,319,234,94,1,3385.364
08:43:31.657,1781163811.657,2026-06-11T08:43:31.657+0100,14,1000.000,242.443,4.125,4'02'',151,72,340,225,92,1,3640.423
08:47:34.101,1781164054.101,2026-06-11T08:47:34.101+0100,15,1000.000,281.730,3.550,4'42'',137,71,287,253,98,1,3882.866
08:52:15.830,1781164335.830,2026-06-11T08:52:15.830+0100,16,759.725,214.149,3.548,4'42'',135,54,290,252,99,1,4164.596
08:55:54.627,1781164554.627,2026-06-11T08:55:54.627+0100,,,,,,,,,,,,4383.393
