Date,Timestamp,ISO8601,Stride Length (mm),Since start (second)
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,,0.000
07:42:59.989,1781160179.989,2026-06-11T07:42:59.989+0100,1230,8.755
07:43:05.084,1781160185.084,2026-06-11T07:43:05.084+0100,1290,13.849
07:43:10.178,1781160190.178,2026-06-11T07:43:10.178+0100,1290,18.944
07:43:15.272,1781160195.272,2026-06-11T07:43:15.272+0100,1290,24.038
07:43:20.367,1781160200.367,2026-06-11T07:43:20.367+0100,1250,29.132
07:43:25.461,1781160205.461,2026-06-11T07:43:25.461+0100,1250,34.227
07:43:30.555,1781160210.555,2026-06-11T07:43:30.555+0100,1200,39.321
07:43:35.650,1781160215.650,2026-06-11T07:43:35.650+0100,1200,44.415
07:43:40.744,1781160220.744,2026-06-11T07:43:40.744+0100,1220,49.510
07:43:45.838,1781160225.838,2026-06-11T07:43:45.838+0100,1240,54.604
07:43:50.933,1781160230.933,2026-06-11T07:43:50.933+0100,1230,59.698
07:43:56.027,1781160236.027,2026-06-11T07:43:56.027+0100,1240,64.793
07:44:01.121,1781160241.121,2026-06-11T07:44:01.121+0100,1230,69.887
07:44:06.215,1781160246.215,2026-06-11T07:44:06.215+0100,1230,74.981
07:44:11.310,1781160251.310,2026-06-11T07:44:11.310+0100,1240,80.075
07:44:16.404,1781160256.404,2026-06-11T07:44:16.404+0100,1240,85.169
07:44:21.498,1781160261.498,2026-06-11T07:44:21.498+0100,1260,90.264
07:44:26.592,1781160266.592,2026-06-11T07:44:26.592+0100,1260,95.358
07:44:31.686,1781160271.686,2026-06-11T07:44:31.686+0100,1260,100.452
07:44:36.781,1781160276.781,2026-06-11T07:44:36.781+0100,1250,105.546
07:44:41.875,1781160281.875,2026-06-11T07:44:41.875+0100,1270,110.640
07:44:46.969,1781160286.969,2026-06-11T07:44:46.969+0100,1270,115.735
07:44:52.063,1781160292.063,2026-06-11T07:44:52.063+0100,1270,120.829
07:44:57.157,1781160297.157,2026-06-11T07:44:57.157+0100,1270,125.923
07:45:02.251,1781160302.251,2026-06-11T07:45:02.251+0100,1280,131.017
07:45:07.345,1781160307.345,2026-06-11T07:45:07.345+0100,1260,136.111
07:45:12.439,1781160312.439,2026-06-11T07:45:12.439+0100,1300,141.205
07:45:17.533,1781160317.533,2026-06-11T07:45:17.533+0100,1300,146.299
07:45:22.627,1781160322.627,2026-06-11T07:45:22.627+0100,1290,151.393
07:45:27.721,1781160327.721,2026-06-11T07:45:27.721+0100,1300,156.487
07:45:32.815,1781160332.815,2026-06-11T07:45:32.815+0100,1290,161.581
07:45:37.909,1781160337.909,2026-06-11T07:45:37.909+0100,1290,166.675
07:45:43.003,1781160343.003,2026-06-11T07:45:43.003+0100,1120,171.769
