Date,Timestamp,ISO8601,VO (mm),Since start (second)
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,,0.000
07:43:02.536,1781160182.536,2026-06-11T07:43:02.536+0100,107,11.302
07:43:07.631,1781160187.631,2026-06-11T07:43:07.631+0100,110,16.396
07:43:12.725,1781160192.725,2026-06-11T07:43:12.725+0100,108,21.491
07:43:17.820,1781160197.820,2026-06-11T07:43:17.820+0100,112,26.585
07:43:22.914,1781160202.914,2026-06-11T07:43:22.914+0100,103,31.680
07:43:28.008,1781160208.008,2026-06-11T07:43:28.008+0100,108,36.774
07:43:33.103,1781160213.103,2026-06-11T07:43:33.103+0100,112,41.868
07:43:38.197,1781160218.197,2026-06-11T07:43:38.197+0100,105,46.963
07:43:43.291,1781160223.291,2026-06-11T07:43:43.291+0100,112,52.057
07:43:48.385,1781160228.385,2026-06-11T07:43:48.385+0100,107,57.151
07:43:53.480,1781160233.480,2026-06-11T07:43:53.480+0100,108,62.245
07:43:58.574,1781160238.574,2026-06-11T07:43:58.574+0100,102,67.340
07:44:03.668,1781160243.668,2026-06-11T07:44:03.668+0100,104,72.434
07:44:08.762,1781160248.762,2026-06-11T07:44:08.762+0100,110,77.528
07:44:13.857,1781160253.857,2026-06-11T07:44:13.857+0100,110,82.622
07:44:18.951,1781160258.951,2026-06-11T07:44:18.951+0100,107,87.717
07:44:24.045,1781160264.045,2026-06-11T07:44:24.045+0100,107,92.811
07:44:29.139,1781160269.139,2026-06-11T07:44:29.139+0100,109,97.905
07:44:34.233,1781160274.233,2026-06-11T07:44:34.233+0100,107,102.999
07:44:39.328,1781160279.328,2026-06-11T07:44:39.328+0100,106,108.093
07:44:44.422,1781160284.422,2026-06-11T07:44:44.422+0100,106,113.187
07:44:49.516,1781160289.516,2026-06-11T07:44:49.516+0100,112,118.282
07:44:54.610,1781160294.610,2026-06-11T07:44:54.610+0100,108,123.376
07:44:59.704,1781160299.704,2026-06-11T07:44:59.704+0100,109,128.470
07:45:04.798,1781160304.798,2026-06-11T07:45:04.798+0100,108,133.564
07:45:09.892,1781160309.892,2026-06-11T07:45:09.892+0100,106,138.658
07:45:14.986,1781160314.986,2026-06-11T07:45:14.986+0100,106,143.752
07:45:20.080,1781160320.080,2026-06-11T07:45:20.080+0100,111,148.846
07:45:25.174,1781160325.174,2026-06-11T07:45:25.174+0100,106,153.940
07:45:30.268,1781160330.268,2026-06-11T07:45:30.268+0100,107,159.034
07:45:35.362,1781160335.362,2026-06-11T07:45:35.362+0100,109,164.128
07:45:40.456,1781160340.456,2026-06-11T07:45:40.456+0100,106,169.222
07:45:45.550,1781160345.550,2026-06-11T07:45:45.550+0100,108,174.316
07:45:50.644,1781160350.644,2026-06-11T07:45:50.644+0100,112,179.410
07:45:55.738,1781160355.738,2026-06-11T07:45:55.738+0100,110,184.504
07:46:00.832,1781160360.832,2026-06-11T07:46:00.832+0100,108,189.598
07:46:05.926,1781160365.926,2026-06-11T07:46:05.926+0100,109,194.692
07:46:11.020,1781160371.020,2026-06-11T07:46:11.020+0100,108,199.786
07:46:16.114,1781160376.114,2026-06-11T07:46:16.114+0100,110,204.880
07:46:21.208,1781160381.208,2026-06-11T07:46:21.208+0100,112,209.974
07:46:26.302,1781160386.302,2026-06-11T07:46:26.302+0100,109,215.068
07:46:31.396,1781160391.396,2026-06-11T07:46:31.396+0100,112,220.162
07:46:36.490,1781160396.490,2026-06-11T07:46:36.490+0100,114,225.256
07:46:41.584,1781160401.584,2026-06-11T07:46:41.584+0100,108,230.350
07:46:46.678,1781160406.678,2026-06-11T07:46:46.678+0100,107,235.444
07:46:51.772,1781160411.772,2026-06-11T07:46:51.772+0100,112,240.537
07:46:56.866,1781160416.866,2026-06-11T07:46:56.866+0100,109,245.631
07:47:01.960,1781160421.960,2026-06-11T07:47:01.960+0100,112,250.725
07:47:07.053,1781160427.053,2026-06-11T07:47:07.053+0100,111,255.819
07:47:12.147,1781160432.147,2026-06-11T07:47:12.147+0100,109,260.913
